,adult,belongs_to_collection,collection_name,budget,genres,id,original_language,original_title,popularity,release_date,revenue,runtime,status,title,vote_average,vote_count,date_grp,cpi_index,cpi_current,inflation_rate,budget_diff,budget_adj,revenue_diff,revenue_adj,original_language_full
906,False,544670,Sing Collection,85000000.0,Animation,438695,en,Sing 2,347.19,2021-12-01,406000000.0,110,Released,Sing 2,7.98,3412,21-Dec,278.802,296.797,0.060630667,5153606.67,90153606.67,24616050.7,430616050.7,English
909,False,771563,Merry Liddle Christmas Collection,0.0,Drama,880545,en,Merry Liddle Christmas Baby,5.05,2021-11-27,0.0,88,Released,Merry Liddle Christmas Baby,8.1,10,21-Nov,277.948,296.797,0.063508054,0.0,0.0,0.0,0.0,English
912,False,961121,Eureka Seven Hi-Evolution Collection,0.0,Animation,843269,ja,EUREKA／交響詩篇エウレカセブン　ハイエボリューション,123.85,2021-11-26,0.0,116,Released,Eureka: Eureka Seven Hi-Evolution,5.75,4,21-Nov,277.948,296.797,0.063508054,0.0,0.0,0.0,0.0,Japanese
916,False,913392,South Park: Post COVID Collection,0.0,Animation,874299,en,South Park: Post COVID,21.15,2021-11-25,0.0,59,Released,South Park: Post COVID,7.27,193,21-Nov,277.948,296.797,0.063508054,0.0,0.0,0.0,0.0,English
919,False,912183,The Nine Lives of Christmas Collection,0.0,TV Movie,876119,en,The Nine Kittens of Christmas,3.15,2021-11-25,0.0,84,Released,The Nine Kittens of Christmas,6.9,23,21-Nov,277.948,296.797,0.063508054,0.0,0.0,0.0,0.0,English
922,False,1000954,Una famiglia mostruosa - Saga,0.0,Comedy,715874,it,Una famiglia mostruosa,2.13,2021-11-25,0.0,91,Released,A Monstrous Family,5.7,48,21-Nov,277.948,296.797,0.063508054,0.0,0.0,0.0,0.0,Italian
924,False,632907,Yowis Ben,0.0,Comedy,683374,jv,Yowis Ben 3,1.4,2021-11-25,0.0,113,Released,Yowis Ben 3,0.0,0,21-Nov,277.948,296.797,0.063508054,0.0,0.0,0.0,0.0,Javanese
926,False,729322,Gabriel's Inferno Collection,0.0,Romance,850356,en,Gabriel's Rapture: Part I,11.55,2021-11-24,0.0,106,Released,Gabriel's Rapture: Part I,8.07,127,21-Nov,277.948,296.797,0.063508054,0.0,0.0,0.0,0.0,English
927,False,1015452,Queen of the Trap House Collection,0.0,Crime,902369,en,Queen of the Trap House,1.14,2021-11-23,0.0,96,Released,Queen of the Trap House,0.0,0,21-Nov,277.948,296.797,0.063508054,0.0,0.0,0.0,0.0,English
930,False,1025676,Worlds Collided - Collection,0.0,Adventure,978440,en,Worlds Collided - The Season Two - Part One,0.6,2021-11-20,0.0,44,Released,Worlds Collided - The Season Two - Part One,8.0,1,21-Nov,277.948,296.797,0.063508054,0.0,0.0,0.0,0.0,English
935,False,2980,Ghostbusters Collection,75000000.0,Fantasy,425909,en,Ghostbusters: Afterlife,106.8,2021-11-19,191000000.0,124,Released,Ghostbusters: Afterlife,7.5,3400,21-Nov,277.948,296.797,0.063508054,4763104.07,79763104.07,12130038.38,203130038.38,English
938,False,482086,土竜の唄コレクション,0.0,Comedy,845611,ja,土竜の唄 FINAL,1.96,2021-11-19,0.0,129,Released,The Mole Song: FINAL,6.4,4,21-Nov,277.948,296.797,0.063508054,0.0,0.0,0.0,0.0,Japanese
941,False,920712,Bunty Aur Babli,0.0,Comedy,666390,hi,बंटी और बबली २,3.01,2021-11-19,0.0,138,Released,Bunty Aur Babli 2,6.8,4,21-Nov,277.948,296.797,0.063508054,0.0,0.0,0.0,0.0,Hindi
944,False,1013563,Osaka Trilogy by Lim Kah Wai,0.0,Drama,756800,ja,COME & GO カム・アンド・ゴー,0.6,2021-11-19,0.0,158,Released,Come and Go,0.0,0,21-Nov,277.948,296.797,0.063508054,0.0,0.0,0.0,0.0,Japanese
946,False,690428,Zimmer mit Stall,0.0,Comedy,925595,de,Zimmer mit Stall - Schwiegermutter im Anflug,0.6,2021-11-18,0.0,88,Released,Zimmer mit Stall - Schwiegermutter im Anflug,0.0,0,21-Nov,277.948,296.797,0.063508054,0.0,0.0,0.0,0.0,German
950,False,718934,Psych Collection,0.0,Comedy,829400,en,Psych 3: This Is Gus,6.27,2021-11-18,0.0,96,Released,Psych 3: This Is Gus,6.73,82,21-Nov,277.948,296.797,0.063508054,0.0,0.0,0.0,0.0,English
954,False,638051,PBTB Collection,0.0,Comedy,894088,th,ผู้บ่าวไทบ้าน อีสานจ้วด,0.6,2021-11-18,0.0,105,Released,Phu Bao Thai Bahn E-Saan Juad,0.0,0,21-Nov,277.948,296.797,0.063508054,0.0,0.0,0.0,0.0,Thai
956,False,713330,The Princess Switch Collection,0.0,Romance,785533,en,The Princess Switch 3: Romancing the Star,16.53,2021-11-18,0.0,106,Released,The Princess Switch 3: Romancing the Star,6.9,346,21-Nov,277.948,296.797,0.063508054,0.0,0.0,0.0,0.0,English
958,False,44937,Les Bodin's Collection,8102011.0,Comedy,874294,fr,Les Bodin's en Thaïlande,2.68,2021-11-17,0.0,98,Released,Les Bodin's en Thaïlande,6.3,32,21-Nov,277.948,296.797,0.063508054,514542.95,8616553.95,0.0,0.0,French
959,False,968363,The Guidance Patrol Collection,0.0,Comedy,899518,fa,گشت ارشاد ۳,0.6,2021-11-16,0.0,90,Released,The Guidance Patrol 3,6.5,2,21-Nov,277.948,296.797,0.063508054,0.0,0.0,0.0,0.0,Persian (Farsi)
961,False,96676,Never Back Down Collection,0.0,Action,763025,en,Never Back Down: Revolt,25.01,2021-11-15,0.0,89,Released,Never Back Down: Revolt,6.6,100,21-Nov,277.948,296.797,0.063508054,0.0,0.0,0.0,0.0,English
962,False,1045506,Cyberpunk Documentary Series,0.0,Documentary,899344,en,Cyberpunk Documentary PART 3,1.75,2021-11-13,0.0,138,Released,Cyberpunk Documentary PART 3,0.0,0,21-Nov,277.948,296.797,0.063508054,0.0,0.0,0.0,0.0,English
963,False,9888,Home Alone Collection,0.0,Comedy,654974,en,Home Sweet Home Alone,43.55,2021-11-12,0.0,93,Released,Home Sweet Home Alone,5.02,486,21-Nov,277.948,296.797,0.063508054,0.0,0.0,0.0,0.0,English
966,False,1046220,Wedding Pact Collection,0.0,Comedy,925673,en,The Wedding Pact 2: The Baby Pact,0.88,2021-11-12,0.0,100,Released,The Wedding Pact 2: The Baby Pact,0.0,0,21-Nov,277.948,296.797,0.063508054,0.0,0.0,0.0,0.0,English
968,False,604425,The Oasis Collection,0.0,Documentary,604424,en,The Department,1.4,2021-11-11,0.0,89,Released,The Department,0.0,0,21-Nov,277.948,296.797,0.063508054,0.0,0.0,0.0,0.0,English
969,False,923738,Happiness Collection,0.0,Romance,892342,en,Happiness Ever After,5.26,2021-11-10,0.0,99,Released,Happiness Ever After,7.24,29,21-Nov,277.948,296.797,0.063508054,0.0,0.0,0.0,0.0,English
971,False,97462,Macross Frontier Collection,0.0,Music,897068,ja,マクロスF ギャラクシーライブ2021［リベンジ］,1.16,2021-11-10,0.0,151,Released,"Macross Frontier Galaxy Live 2021 ""REVENGE""",9.0,1,21-Nov,277.948,296.797,0.063508054,0.0,0.0,0.0,0.0,Japanese
972,False,895878,Tortured For Christ Collection,0.0,Drama,876326,en,"Sabina - Tortured for Christ, the Nazi Years",1.01,2021-11-08,0.0,115,Released,"Sabina - Tortured for Christ, the Nazi Years",5.0,1,21-Nov,277.948,296.797,0.063508054,0.0,0.0,0.0,0.0,English
974,False,661005,Christmas with a Prince Collection,0.0,TV Movie,882224,en,Christmas with a Prince The Royal Baby,5.21,2021-11-07,0.0,87,Released,Christmas with a Prince The Royal Baby,6.5,13,21-Nov,277.948,296.797,0.063508054,0.0,0.0,0.0,0.0,English
976,False,930856,Our Yard (Collection),0.0,Comedy,930842,hy,Մեր բակը 4,0.6,2021-11-07,0.0,105,Released,Our Yard 4,0.0,1,21-Nov,277.948,296.797,0.063508054,0.0,0.0,0.0,0.0,Armenian
977,False,1037394,Father Christmas is Back Collection,0.0,Comedy,762469,en,Father Christmas Is Back,13.55,2021-11-07,0.0,105,Released,Father Christmas Is Back,4.69,125,21-Nov,277.948,296.797,0.063508054,0.0,0.0,0.0,0.0,English
979,False,958218,Sumikkogurashi Collection,0.0,Animation,877840,ja,映画 すみっコぐらし 青い月夜のまほうのコ,0.6,2021-11-05,0.0,65,Released,Sumikkogurashi: The Little Wizard in the Blue Moonlight,0.0,0,21-Nov,277.948,296.797,0.063508054,0.0,0.0,0.0,0.0,Japanese
980,False,861123,Ostap Bender Trilogy,0.0,Crime,861126,ru,Бендер: Последняя афера,2.02,2021-11-05,0.0,97,Released,Ostap Bender: The Final Hustle,7.0,13,21-Nov,277.948,296.797,0.063508054,0.0,0.0,0.0,0.0,Russian
983,False,1068160,The Male Gaze  Collection,0.0,Drama,894612,en,The Male Gaze: Celluloid Dreams,0.6,2021-11-05,0.0,108,Released,The Male Gaze: Celluloid Dreams,1.0,1,21-Nov,277.948,296.797,0.063508054,0.0,0.0,0.0,0.0,English
984,False,828600,Christmas Thieves (Collection),7320000.0,Family,779003,en,Christmas Thieves,1.62,2021-11-04,0.0,77,Released,Christmas Thieves,3.0,4,21-Nov,277.948,296.797,0.063508054,464878.96,7784878.96,0.0,0.0,English
988,False,222639,Detective Dee Collection,0.0,Mystery,894078,zh,狄仁杰之恢诡赤目,1.23,2021-11-04,0.0,88,Released,Detective Dee and The Red Eye,6.0,2,21-Nov,277.948,296.797,0.063508054,0.0,0.0,0.0,0.0,Chinese
990,False,932200,Red Notice Collection,160000000.0,Action,512195,en,Red Notice,99.28,2021-11-04,178143.0,118,Released,Red Notice,6.8,4521,21-Nov,277.948,296.797,0.063508054,10161288.69,170161288.69,11313.52,189456.52,English
994,False,948113,AG French Direct Collection,0.0,Documentary,948110,fr,AG French Direct - Automne 2021,0.6,2021-11-03,0.0,90,Released,AG French Direct - Fall 2021,0.0,0,21-Nov,277.948,296.797,0.063508054,0.0,0.0,0.0,0.0,French
995,False,1062382,きのう何食べた？,0.0,Drama,824362,ja,劇場版「きのう何食べた？」,4.76,2021-11-03,0.0,120,Released,What Did You Eat Yesterday? The Movie,6.3,6,21-Nov,277.948,296.797,0.063508054,0.0,0.0,0.0,0.0,Japanese
996,False,1011336,Eternals Collection,200000000.0,Science Fiction,524434,en,Eternals,132.82,2021-11-03,402064899.0,156,Released,Eternals,7.01,6732,21-Nov,277.948,296.797,0.063508054,12701610.87,212701610.87,25534359.45,427599258.45,English
999,False,845586,Finding Jesus Collection,20.0,no_genre,1036689,en,Christmas Under the Sea 2,0.6,2021-11-02,150000.0,70,Released,Christmas Under the Sea 2,0.0,0,21-Nov,277.948,296.797,0.063508054,1.27,21.27,9526.21,159526.21,English
1000,False,893268,Carters Collection,0.0,Comedy,893264,en,Thanksgiving with the Carters: 2nd Helping,0.63,2021-11-02,0.0,76,Released,Thanksgiving with the Carters: 2nd Helping,0.0,0,21-Nov,277.948,296.797,0.063508054,0.0,0.0,0.0,0.0,English
1001,False,897708,12 Westerns in 12 Months Collection,0.0,Western,791124,en,Tales of the Natchez Trace,1.21,2021-11-01,0.0,59,Released,Tales of the Natchez Trace,2.0,1,21-Nov,277.948,296.797,0.063508054,0.0,0.0,0.0,0.0,English
1002,False,1010418,Mir Collection,0.0,Documentary,932790,de,Das Leben des Jungen Mir,0.6,2021-11-01,0.0,90,Released,The Life of Mir,0.0,0,21-Nov,277.948,296.797,0.063508054,0.0,0.0,0.0,0.0,German
1003,False,893713,Sword Art Online the Movie -Progressive-,0.0,Animation,761898,ja,劇場版 ソードアート・オンライン-プログレッシブ- 星なき夜のアリア,107.55,2021-10-30,14037060.0,97,Released,Sword Art Online the Movie -Progressive- Aria of a Starless Night,8.29,159,21-Oct,276.589,296.797,0.068086942,0.0,0.0,955740.48,14992800.48,Japanese
1007,False,41437,Paranormal Activity Collection,0.0,Horror,609972,en,Paranormal Activity: Next of Kin,57.43,2021-10-29,0.0,98,Released,Paranormal Activity: Next of Kin,6.31,475,21-Oct,276.589,296.797,0.068086942,0.0,0.0,0.0,0.0,English
1010,False,931137,Počátky (kolekce),0.0,Documentary,888149,cs,Opouštět Počátky,0.6,2021-10-28,0.0,97,Released,Leaving Beginnings Behind,0.0,0,21-Oct,276.589,296.797,0.068086942,0.0,0.0,0.0,0.0,Czech
1011,False,891174,Nobody Sleeps in the Woods Tonight Collection,0.0,Horror,871964,pl,W lesie dziś nie zaśnie nikt 2,36.74,2021-10-27,0.0,97,Released,Nobody Sleeps in the Woods Tonight 2,4.71,256,21-Oct,276.589,296.797,0.068086942,0.0,0.0,0.0,0.0,Polish
1014,False,809185,Army of the Dead Collection,0.0,Crime,796499,en,Army of Thieves,52.27,2021-10-27,0.0,127,Released,Army of Thieves,6.88,1557,21-Oct,276.589,296.797,0.068086942,0.0,0.0,0.0,0.0,English
1016,False,858112,The FP Collection,20.0,no_genre,889835,en,FP3: Escape From BAKO,0.6,2021-10-23,0.0,69,Released,FP3: Escape From BAKO,10.0,1,21-Oct,276.589,296.797,0.068086942,1.36,21.36,0.0,0.0,English
1017,False,1040578,Honto ni Atta Kowai Hanashi Collection,0.0,Horror,890505,ja,ほんとにあった怖い話 2021特別編,1.4,2021-10-23,0.0,130,Released,Honto Ni Atta Kowai Hanashi: 2021 Special,0.0,0,21-Oct,276.589,296.797,0.068086942,0.0,0.0,0.0,0.0,Japanese
1018,False,1072703,Furioza Collection,0.0,Drama,866678,pl,Furioza,10.89,2021-10-22,0.0,139,Released,Furioza,6.3,116,21-Oct,276.589,296.797,0.068086942,0.0,0.0,0.0,0.0,Polish
1021,False,1002573,The Solar War Collection,0.0,Action,1002564,en,Solar War II | Harrison's Revenge,0.6,2021-10-22,0.0,202,Released,Solar War II | Harrison's Revenge,5.5,2,21-Oct,276.589,296.797,0.068086942,0.0,0.0,0.0,0.0,English
1025,False,878240,Monster Family Collection,0.0,Animation,823609,en,Monster Family 2,34.66,2021-10-21,0.0,103,Released,Monster Family 2,6.6,55,21-Oct,276.589,296.797,0.068086942,0.0,0.0,0.0,0.0,English
1027,False,881468,Fear PHarm Collection,0.0,Horror,881464,en,Fear PHarm 2,2.48,2021-10-19,0.0,75,Released,Fear PHarm 2,4.71,7,21-Oct,276.589,296.797,0.068086942,0.0,0.0,0.0,0.0,English
1028,False,894179,Penunggang Agama Collection,0.0,Horror,887450,ms,Penunggang Agama 2,0.84,2021-10-19,0.0,78,Released,Penunggang Agama 2,0.0,0,21-Oct,276.589,296.797,0.068086942,0.0,0.0,0.0,0.0,Malay
1031,False,925184,League of Gods,0.0,Fantasy,887459,zh,封神榜：托塔天王,0.6,2021-10-17,0.0,72,Released,League of Gods: King Li Jing,0.0,0,21-Oct,276.589,296.797,0.068086942,0.0,0.0,0.0,0.0,Chinese
1032,False,418326,"Signed, Sealed, Delivered Collection",0.0,TV Movie,860271,en,"Signed, Sealed, Delivered: The Vows We Have Made",4.4,2021-10-17,0.0,84,Released,"Signed, Sealed, Delivered: The Vows We Have Made",7.25,16,21-Oct,276.589,296.797,0.068086942,0.0,0.0,0.0,0.0,English
1036,False,788750,Occupation Collection,25000000.0,Science Fiction,688258,en,Occupation: Rainfall,17.75,2021-10-15,331091.0,128,Released,Occupation: Rainfall,6.28,117,21-Oct,276.589,296.797,0.068086942,1702173.54,26702173.54,22542.97,353633.97,English
1038,False,1041720,Die Schule der magischen Tiere Filmreihe,11700000.0,Family,793937,de,Die Schule der magischen Tiere,40.97,2021-10-14,13128530.0,93,Released,The School of the Magical Animals,6.2,34,21-Oct,276.589,296.797,0.068086942,796617.22,12496617.22,893881.46,14022411.46,German
1040,False,91361,Halloween Collection,20000000.0,Horror,610253,en,Halloween Kills,63.72,2021-10-14,131647155.0,105,Released,Halloween Kills,6.6,2149,21-Oct,276.589,296.797,0.068086942,1361738.83,21361738.83,8963452.15,140610607.15,English
1042,False,654188,Aranmanai Collection,0.0,Comedy,858073,ta,அரண்மனை 3,1.34,2021-10-14,0.0,155,Released,Aranmanai 3,3.75,6,21-Oct,276.589,296.797,0.068086942,0.0,0.0,0.0,0.0,Tamil
1044,False,1035073,Exhibition on Screen Collection,0.0,Documentary,871434,en,Raphael Revealed,0.6,2021-10-12,0.0,88,Released,Raphael Revealed,0.0,0,21-Oct,276.589,296.797,0.068086942,0.0,0.0,0.0,0.0,English
1045,False,1020416,Easter Bunny Massacre Collection,0.0,Mystery,922607,en,Easter Bunny Massacre,4.22,2021-10-11,0.0,85,Released,Easter Bunny Massacre,5.07,15,21-Oct,276.589,296.797,0.068086942,0.0,0.0,0.0,0.0,English
1047,False,583369,The Souvenir Collection,0.0,Drama,473021,en,The Souvenir: Part II,6.57,2021-10-11,98929.0,108,Released,The Souvenir: Part II,6.64,51,21-Oct,276.589,296.797,0.068086942,0.0,0.0,6735.77,105664.77,English
1048,False,1059575,Будинок «Слово». Колекція,0.0,Drama,876910,uk,Будинок «Слово». Нескінчений роман,0.6,2021-10-08,0.0,120,Released,“Slovo” House. Unfinished Novel,2.0,1,21-Oct,276.589,296.797,0.068086942,0.0,0.0,0.0,0.0,Ukrainian
1049,False,383032,Honto Ni Atta! Noroi no Video Collection,0.0,Horror,989002,ja,ほんとにあった！呪いのビデオ94,0.6,2021-10-06,0.0,89,Released,Honto Ni Atta! Noroi No Video 94,0.0,0,21-Oct,276.589,296.797,0.068086942,0.0,0.0,0.0,0.0,Japanese
1050,False,409343,God's Not Dead Collection,0.0,Drama,793285,en,God's Not Dead: We The People,8.15,2021-10-04,0.0,91,Released,God's Not Dead: We The People,6.87,78,21-Oct,276.589,296.797,0.068086942,0.0,0.0,0.0,0.0,English
1051,False,1004630,LEGO Star Wars (Seasonal) Collection,0.0,Animation,857702,en,LEGO Star Wars Terrifying Tales,29.93,2021-10-01,0.0,45,Released,LEGO Star Wars Terrifying Tales,6.79,203,21-Oct,276.589,296.797,0.068086942,0.0,0.0,0.0,0.0,English
1058,False,1018340,18 Year Old Actress Collection,0.0,Romance,1016113,ko,18 머슬퀸 성혜의 섹스 스캔들,0.6,2021-10-01,0.0,64,Released,18 Year Old Muscle Queen Seong-hye's Sex Scandal,0.0,0,21-Oct,276.589,296.797,0.068086942,0.0,0.0,0.0,0.0,Korean
1059,False,1015410,Under Wraps Collection,0.0,Family,763873,en,Under Wraps,34.4,2021-10-01,0.0,91,Released,Under Wraps,6.88,72,21-Oct,276.589,296.797,0.068086942,0.0,0.0,0.0,0.0,English
1062,False,750822,The Addams Family (Animated) Collection,0.0,Animation,639721,en,The Addams Family 2,139.88,2021-10-01,119815153.0,93,Released,The Addams Family 2,7.11,1044,21-Oct,276.589,296.797,0.068086942,0.0,0.0,8157847.32,127973000.32,English
1068,False,922575,Killing Cabos Collection,0.0,Action,772436,es,Matando Cabos 2: La Máscara del Máscara,27.1,2021-10-01,0.0,102,Released,Matando Cabos 2: La Máscara del Máscara,7.68,78,21-Oct,276.589,296.797,0.068086942,0.0,0.0,0.0,0.0,Spanish
1071,False,897708,12 Westerns in 12 Months Collection,0.0,Western,791121,en,The Wilderness Road,1.52,2021-10-01,0.0,123,Released,The Wilderness Road,0.0,0,21-Oct,276.589,296.797,0.068086942,0.0,0.0,0.0,0.0,English
1074,False,55428,Curious George Collection,0.0,Animation,918832,en,Curious George: Cape Ahoy,29.0,2021-09-30,0.0,88,Released,Curious George: Cape Ahoy,3.3,7,21-Sep,274.31,296.797,0.075765591,0.0,0.0,0.0,0.0,English
1077,False,558216,Venom Collection,110000000.0,Science Fiction,580489,en,Venom: Let There Be Carnage,168.24,2021-09-30,506863592.0,97,Released,Venom: Let There Be Carnage,6.9,8407,21-Sep,274.31,296.797,0.075765591,8334214.97,118334214.97,38402819.41,545266411.41,English
1080,False,1001627,Macross Δ Collection,0.0,Animation,749401,ja,劇場版マクロスΔ 絶対LIVE!!!!!!,5.4,2021-09-30,0.0,110,Released,Macross Δ the Movie: Absolute Live!!!!!!,8.5,2,21-Sep,274.31,296.797,0.075765591,0.0,0.0,0.0,0.0,Japanese
1087,False,954596,国庆三部曲（系列）,0.0,Drama,869724,zh,我和我的父辈,2.0,2021-09-30,0.0,156,Released,"My Country, My Parents",4.8,10,21-Sep,274.31,296.797,0.075765591,0.0,0.0,0.0,0.0,Chinese
1088,False,930409,The Battle at Lake Changjin Collection,200000000.0,Drama,779029,zh,长津湖,11.09,2021-09-30,902540935.0,178,Released,The Battle at Lake Changjin,6.3,53,21-Sep,274.31,296.797,0.075765591,15153118.12,215153118.12,68381547.0,970922482.0,Chinese
1090,False,645,James Bond Collection,250000000.0,Adventure,370172,en,No Time to Die,88.09,2021-09-29,774153007.0,163,Released,No Time to Die,7.4,4902,21-Sep,274.31,296.797,0.075765591,18941397.66,268941397.66,58654159.81,832807166.81,English
1093,False,207621,V/H/S Collection,0.0,Horror,753453,en,V/H/S/94,15.15,2021-09-26,0.0,103,Released,V/H/S/94,6.24,302,21-Sep,274.31,296.797,0.075765591,0.0,0.0,0.0,0.0,English
1095,False,1059888,Savage X Fenty Collection,0.0,Documentary,873840,en,Savage X Fenty Show Vol. 3,3.73,2021-09-24,0.0,40,Released,Savage X Fenty Show Vol. 3,6.43,15,21-Sep,274.31,296.797,0.075765591,0.0,0.0,0.0,0.0,English
1097,False,673604,A Menina que Matou os Pais,0.0,Crime,608804,pt,A Menina Que Matou os Pais,14.14,2021-09-24,0.0,85,Released,The Girl Who Killed Her Parents,6.45,207,21-Sep,274.31,296.797,0.075765591,0.0,0.0,0.0,0.0,Portuguese
1100,False,673604,A Menina que Matou os Pais,0.0,Crime,800305,pt,O Menino Que Matou Meus Pais,13.97,2021-09-24,0.0,88,Released,The Boy Who Killed My Parents,6.32,172,21-Sep,274.31,296.797,0.075765591,0.0,0.0,0.0,0.0,Portuguese
1103,False,893229,Princess Principal Crown Handler Collection,0.0,Animation,843267,ja,プリンセス・プリンシパル Crown Handler 第2章,44.0,2021-09-23,0.0,56,Released,Princess Principal Crown Handler: Chapter 2,7.3,3,21-Sep,274.31,296.797,0.075765591,0.0,0.0,0.0,0.0,Japanese
1108,False,903955,Go! Go! Cory Carson Collection,0.0,Animation,876576,en,Go! Go! Cory Carson: Chrissy Takes the Wheel,15.02,2021-09-21,0.0,61,Released,Go! Go! Cory Carson: Chrissy Takes the Wheel,5.8,24,21-Sep,274.31,296.797,0.075765591,0.0,0.0,0.0,0.0,English
1110,False,936268,Aileen Wuornos Collection,0.0,Horror,806804,en,Aileen Wuornos: American Boogeywoman,9.1,2021-09-20,0.0,86,Released,Aileen Wuornos: American Boogeywoman,5.44,41,21-Sep,274.31,296.797,0.075765591,0.0,0.0,0.0,0.0,English
1111,False,1002061,Covidland Collection,0.0,Documentary,874620,en,Covidland: The Lockdown,1.55,2021-09-20,0.0,90,Released,Covidland: The Lockdown,0.0,0,21-Sep,274.31,296.797,0.075765591,0.0,0.0,0.0,0.0,English
1112,False,972513,Dark Web Collection,0.0,Horror,875314,en,Dark Web: Descent Into Hell,3.21,2021-09-17,0.0,79,Released,Dark Web: Descent Into Hell,3.0,2,21-Sep,274.31,296.797,0.075765591,0.0,0.0,0.0,0.0,English
1113,False,890927,Free!–the Final Stroke– Collection,0.0,Animation,738091,ja,劇場版 Free!–the Final Stroke– 前編,2.41,2021-09-17,0.0,86,Released,Free!–the Final Stroke– the first volume,7.0,1,21-Sep,274.31,296.797,0.075765591,0.0,0.0,0.0,0.0,Japanese
1116,False,911841,La Vengeance Trilogie,0.0,no_genre,875309,fr,La Vengeance 3,0.6,2021-09-17,0.0,89,Released,The Vengance 3,1.0,1,21-Sep,274.31,296.797,0.075765591,0.0,0.0,0.0,0.0,French
1117,False,980782,The Legend of Jack and Jill Collection,0.0,Horror,879917,en,Jack and Jill,4.45,2021-09-17,0.0,90,Released,Jack and Jill,5.5,28,21-Sep,274.31,296.797,0.075765591,0.0,0.0,0.0,0.0,English
1119,False,850336,Masquerade Hotel Collection,0.0,Crime,824202,ja,マスカレード・ナイト,3.63,2021-09-17,0.0,129,Released,Masquerade Night,6.6,5,21-Sep,274.31,296.797,0.075765591,0.0,0.0,0.0,0.0,Japanese
1120,False,892613,Princess Cut Collection,0.0,Drama,892608,en,Princess Cut 2: Hearts on Fire,1.23,2021-09-16,0.0,110,Released,Princess Cut 2: Hearts on Fire,10.0,2,21-Sep,274.31,296.797,0.075765591,0.0,0.0,0.0,0.0,English
1122,False,790538,Sul più bello - Collezione,0.0,Romance,790523,it,Ancora più bello,15.39,2021-09-16,0.0,113,Released,Still Out of My League,6.56,175,21-Sep,274.31,296.797,0.075765591,0.0,0.0,0.0,0.0,Italian
1124,False,993199,Kau & Dia Collection,0.0,Drama,872322,en,Kau & Dia,0.6,2021-09-14,0.0,96,Released,Kau & Dia,0.0,0,21-Sep,274.31,296.797,0.075765591,0.0,0.0,0.0,0.0,English
1126,False,872991,CarousHELL Collection,10000.0,Horror,872620,en,CarousHELL The 2nd,0.67,2021-09-09,0.0,77,Released,CarousHELL The 2nd,10.0,1,21-Sep,274.31,296.797,0.075765591,757.66,10757.66,0.0,0.0,English
1128,False,653943,Lesní trilogie (kolekce),0.0,Comedy,653941,cs,Cesta domů,0.63,2021-09-09,0.0,91,Released,Way Home,0.0,0,21-Sep,274.31,296.797,0.075765591,0.0,0.0,0.0,0.0,Czech
1130,False,303872,Little Nicholas Trilogy,0.0,Family,740844,fr,Le Trésor du Petit Nicolas,2.95,2021-09-09,5843307.0,103,Released,Little Nicholas' Treasure,5.5,32,21-Sep,274.31,296.797,0.075765591,0.0,0.0,442721.61,6286028.61,French
1132,False,888484,Time Is Up Collection,0.0,Romance,763148,en,Time Is Up,30.26,2021-09-09,0.0,108,Released,Time Is Up,6.42,497,21-Sep,274.31,296.797,0.075765591,0.0,0.0,0.0,0.0,English
1134,False,726871,Dune Collection,165000000.0,Science Fiction,438631,en,Dune,109.86,2021-09-08,400671789.0,155,Released,Dune,7.82,8254,21-Sep,274.31,296.797,0.075765591,12501322.45,177501322.45,30357134.74,431028923.74,English
1136,False,1003332,Untold Collection,0.0,Documentary,862582,en,Untold: Breaking Point,7.52,2021-09-07,0.0,79,Released,Untold: Breaking Point,7.73,37,21-Sep,274.31,296.797,0.075765591,0.0,0.0,0.0,0.0,English
1137,False,858719,Harry & Meghan Collection (Lifetime),0.0,TV Movie,858717,en,Harry and Meghan: Escaping the Palace,9.07,2021-09-06,0.0,120,Released,Harry and Meghan: Escaping the Palace,6.75,145,21-Sep,274.31,296.797,0.075765591,0.0,0.0,0.0,0.0,English
1139,False,898492,Life of Crime Collection,0.0,Documentary,854345,en,Life of Crime: 1984-2020,3.86,2021-09-06,0.0,121,Released,Life of Crime: 1984-2020,8.5,9,21-Sep,274.31,296.797,0.075765591,0.0,0.0,0.0,0.0,English
1140,False,940926,Amityville Scarecrow Collection,0.0,Horror,846284,en,Amityville Scarecrow,2.47,2021-09-05,0.0,88,Released,Amityville Scarecrow,4.3,3,21-Sep,274.31,296.797,0.075765591,0.0,0.0,0.0,0.0,English
1141,False,980025,黑鴉事務所合集,0.0,Action,868708,ja,クロガラス３,0.6,2021-09-03,0.0,70,Released,クロガラス３,0.0,0,21-Sep,274.31,296.797,0.075765591,0.0,0.0,0.0,0.0,Japanese
1143,False,286177,Rise of the Footsoldier Collection,0.0,Crime,854732,en,Rise of the Footsoldier: Origins,5.5,2021-09-03,0.0,107,Released,Rise of the Footsoldier: Origins,5.35,20,21-Sep,274.31,296.797,0.075765591,0.0,0.0,0.0,0.0,English
1146,False,579023,U Get What U Kiss,0.0,Comedy,870371,ro,"Pup-o, mă! 2: Mireasa nebună",1.63,2021-09-03,0.0,113,Released,U Get What U Kiss 2: The Crazy Bride,8.3,6,21-Sep,274.31,296.797,0.075765591,0.0,0.0,0.0,0.0,Romanian
